CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster,Segment,Marketing_Recommendation
12346,326,1,77183.6,1,1,5,115,7,1.4619928068665424,-0.9552142636712972,3.707716304393321,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12347,2,7,4310.0,5,5,5,555,15,-2.038734417842785,1.0744251947249353,1.4149034409922063,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12348,75,4,1797.24,2,4,4,244,10,0.3731042355677808,0.3863044476016776,0.7200242808941862,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12349,19,1,1757.55,4,1,4,414,9,-0.6230859205766931,-0.9552142636712972,0.7022869133754331,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12350,310,1,334.4,1,1,2,112,4,1.4245575339360348,-0.9552142636712972,-0.6145138773809342,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12352,36,8,2506.04,3,5,5,355,13,-0.164028700972232,1.2468684386726128,0.9841077670757192,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12353,204,1,89.0,1,1,1,111,3,1.1135502505032524,-0.9552142636712972,-1.659989234491792,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12354,232,1,1079.4,1,1,4,114,6,1.2090862834765006,-0.9552142636712972,0.3151288218867015,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12355,214,1,459.4,1,1,2,112,4,1.1490907416248033,-0.9552142636712972,-0.3627665798551163,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12356,23,3,2811.43,4,3,5,435,12,-0.4870358868672529,0.0596054655268191,1.075458602358939,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12357,33,1,6207.67,4,1,5,415,10,-0.2271262067959733,-0.9552142636712972,1.7048016178150551,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12358,2,2,1168.06,5,2,4,524,11,-2.038734417842785,-0.3615827770984003,0.3778079219192159,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12359,58,4,6310.03,3,4,5,345,12,0.1841671134665053,0.3863044476016776,1.7177971567525194,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12360,52,3,2662.06,3,3,5,335,11,0.10413950578058,0.0596054655268191,1.0320879035098578,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12361,287,1,189.9,1,1,1,111,3,1.3672244617898772,-0.9552142636712972,-1.062401754487148,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12362,3,10,5226.23,5,5,5,555,15,-1.824063391865872,1.54066546553549,1.5680566624251784,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12363,110,2,552.0,2,2,3,223,7,0.6557659603678762,-0.3615827770984003,-0.2171229620332055,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12364,8,4,1313.1,5,4,4,544,13,-1.2189397565026774,0.3863044476016776,0.4707529088327745,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12365,291,2,641.38,1,2,3,123,6,1.377517166470927,-0.3615827770984003,-0.0980552696687796,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12367,4,1,168.9,5,1,1,511,7,-1.6575516078937147,-0.9552142636712972,-1.1550190660766535,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12370,51,4,3541.94,3,4,5,345,12,0.0899255663351436,0.3863044476016776,1.2589675608961863,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12371,45,2,1887.96,3,2,4,324,9,-0.0015614215275583,-0.3615827770984003,0.7591391847260899,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12372,72,3,1298.04,3,3,4,334,10,0.343051479153905,0.0596054655268191,0.4615924892792484,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12373,311,1,364.6,1,1,2,112,4,1.4269530713337628,-0.9552142636712972,-0.5459956549487215,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12374,25,1,742.93,4,1,3,413,8,-0.4273072773233673,-0.9552142636712972,0.0185844411181184,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12375,11,2,457.5,5,2,2,522,9,-1.0042687305257638,-0.3615827770984003,-0.3660530843539457,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12377,315,2,1628.12,1,2,4,124,7,1.4364590503135464,-0.3615827770984003,0.6415302990453884,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12378,130,1,4008.62,2,1,5,215,8,0.7793883005555002,-0.9552142636712972,1.3573068160503747,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12379,82,2,852.24,2,2,3,223,7,0.4388506943278125,-0.3615827770984003,0.1275367586575833,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12380,22,4,2724.81,4,4,5,445,13,-0.5187942651860693,0.3863044476016776,1.0505969444501086,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12381,5,5,1845.31,5,4,4,544,13,-1.5215015741842748,0.6532369520997158,0.7409897052842175,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12383,185,5,1850.56,1,4,4,144,9,1.0409714714796316,0.6532369520997158,0.7432463137789651,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12384,29,2,585.27,4,2,3,423,9,-0.3205241028950956,-0.3615827770984003,-0.1706930453042452,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12386,338,2,401.9,1,2,2,122,5,1.488886141147174,-0.3615827770984003,-0.4687890239924175,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12388,16,6,2780.66,4,4,5,445,13,-0.7443590504544844,0.8789251688960832,1.066715799417257,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12390,80,1,549.84,2,1,3,213,6,0.4206495661775393,-0.9552142636712972,-0.2202332202109055,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12391,22,1,439.66,4,1,2,412,7,-0.5187942651860693,-0.9552142636712972,-0.3975931890980416,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12393,72,4,1582.6,3,4,4,344,11,0.343051479153905,0.3863044476016776,0.6190083120406632,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12394,64,2,1272.48,3,2,4,324,9,0.2564373503073006,-0.3615827770984003,0.4457994889598108,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12395,19,12,3018.63,4,5,5,455,14,-0.6230859205766931,1.7852452398084837,1.1319521509992123,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12397,36,2,2409.9,3,2,5,325,10,-0.164028700972232,-0.3615827770984003,0.9530318118768965,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12398,46,1,1635.66,3,1,4,314,8,0.0144867079241929,-0.9552142636712972,0.6452000234939276,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12399,119,4,1108.65,2,4,4,244,10,0.713941584421926,0.3863044476016776,0.3363586231204853,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12401,303,1,84.3,1,1,1,111,3,1.4075699228848029,-0.9552142636712972,-1.7026146180254422,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12402,323,1,225.6,1,1,1,111,3,1.4551152534945606,-0.9552142636712972,-0.9261563516366872,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12403,50,1,427.7,3,1,2,312,6,0.0754356108856238,-0.9552142636712972,-0.4194610946286848,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12405,149,1,1710.39,2,1,4,214,7,0.8804533683940834,-0.9552142636712972,0.680683278116104,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12406,22,2,3415.3,4,2,5,425,11,-0.5187942651860693,-0.3615827770984003,1.2300404343430742,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12407,50,5,1708.12,3,4,4,344,11,0.0754356108856238,0.6532369520997158,0.6796284460603733,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12408,33,5,2888.55,4,4,5,445,13,-0.2271262067959733,0.6532369520997158,1.0969574943472709,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12409,79,3,11072.67,2,3,5,235,10,0.4113797667403285,0.0596054655268191,2.164649665649763,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12410,309,2,693.33,1,2,3,123,6,1.4221542814287025,-0.3615827770984003,-0.036251435859147,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12412,75,3,1226.88,2,3,4,234,9,0.3731042355677808,0.0596054655268191,0.4168203803679154,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12413,67,3,758.1,3,3,3,333,9,0.2901066368625376,0.0596054655268191,0.0346272696599118,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12414,217,3,562.41,1,3,3,133,7,1.159430989184945,0.0596054655268191,-0.202301608668576,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12415,24,21,124914.53,4,5,5,455,14,-0.4565741366045358,2.555485194733606,4.090328181338927,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12417,3,9,3649.1,5,5,5,555,15,-1.824063391865872,1.4011241767997944,1.282648592907612,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12418,113,1,668.58,2,1,3,213,6,0.6756660532493783,-0.9552142636712972,-0.0650974245504034,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12420,64,1,600.39,3,1,3,313,7,0.2564373503073006,-0.9552142636712972,-0.1504567322777843,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12421,16,4,807.04,4,4,3,443,11,-0.7443590504544844,0.3863044476016776,0.0842802901286819,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12422,96,3,803.56,2,3,3,233,8,0.5551626080798789,0.0596054655268191,0.0808502316415014,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12423,1,8,1859.31,5,5,4,554,14,-2.341296235524383,1.2468684386726128,0.746993147003457,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12424,163,2,1760.96,2,2,4,224,8,0.947038466531095,-0.3615827770984003,0.7038264754185446,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12425,78,1,777.2,2,1,3,213,6,0.4019933629965244,-0.9552142636712972,0.0543762806269091,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12426,195,1,582.73,1,1,3,113,5,1.0800489471232713,-0.9552142636712972,-0.1741436626404147,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12427,22,3,825.8,4,3,3,433,10,-0.5187942651860693,0.0596054655268191,0.1025202931182862,2,New Customers,Use welcome offers and second-purchase incentives to build loyalty.
12428,26,9,7956.46,4,5,5,455,14,-0.3991450951625692,1.4011241767997944,1.902023710280471,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12429,9,4,3750.4,5,4,5,545,14,-1.1403187642352035,0.3863044476016776,1.304403893279565,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12430,43,1,256.4,3,1,2,312,6,-0.0347317383159377,-0.9552142636712972,-0.8248723418203856,1,At Risk,Launch win-back campaigns with personalized offers and re-engagement discounts.
12431,36,15,6419.95,3,5,5,355,13,-0.164028700972232,2.089244923923052,1.7315198648444616,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12432,43,5,5059.32,3,4,5,345,12,-0.0347317383159377,0.6532369520997158,1.5422663399678556,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12433,1,7,13375.87,5,5,5,555,15,-2.341296235524383,1.0744251947249353,2.3148189016048657,0,Champions,"Target with premium products, exclusive offers, and loyalty rewards."
12434,85,2,806.14,2,2,3,223,7,0.4653461139941349,-0.3615827770984003,0.0833946242998607,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
12435,80,2,7829.89,2,2,5,225,9,0.4206495661775393,-0.3615827770984003,1.889281299502482,3,Loyal Customers,"Use cross-selling, upselling, and exclusive member offers."
